event_id,site_id,anomaly_date,classification,confidence,tool_calls_count,total_tokens,summary
EVT-00001,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2023-12-27,epidemic,0.75,7,49005,"[epidemic] CDC_VERILY_fl_2503_Treatment plant_post grit removal @ 2023-12-27 (confidence=0.75, factors=hospitalization_trend, signal_pattern, environmental_absence)"
EVT-00002,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2024-03-12,sampling,0.75,6,41198,"[sampling] CDC_VERILY_fl_2503_Treatment plant_post grit removal @ 2024-03-12 (confidence=0.75, factors=signal_pattern, clinical_corroboration, hydrology_context, variant_stability)"
EVT-00003,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2024-06-25,uncertain,0.65,7,50842,"[uncertain] CDC_VERILY_fl_2503_Treatment plant_post grit removal @ 2024-06-25 (confidence=0.65, factors=sustained_signal_increase, missing_clinical_corroboration, no_environmental_confounders_at_anomaly, post_anomaly_rainfall, variant_transition)"
EVT-00004,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2024-08-08,environmental,0.75,6,41536,"[environmental] CDC_VERILY_fl_2503_Treatment plant_post grit removal @ 2024-08-08 (confidence=0.75, factors=hydrological_flow, precipitation_lag_effect, isolated_spike_pattern)"
EVT-00005,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2024-09-10,environmental,0.85,6,41448,"[environmental] CDC_VERILY_fl_2503_Treatment plant_post grit removal @ 2024-09-10 (confidence=0.85, factors=heavy_rainfall_dilution, elevated_discharge, signal_recovery_pattern)"
EVT-00006,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2025-01-02,sampling,0.65,6,39638,"[sampling] CDC_VERILY_fl_2503_Treatment plant_post grit removal @ 2025-01-02 (confidence=0.65, factors=signal_sustained_elevation, trend_detection, variant_shift, lack_environmental_factors)"
EVT-00007,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2025-01-30,uncertain,0.6,7,46735,"[uncertain] CDC_VERILY_fl_2503_Treatment plant_post grit removal @ 2025-01-30 (confidence=0.60, factors=sustained_signal_trend, missing_clinical_data, hydrology_pattern, silver_label_consensus)"
EVT-00008,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2025-02-04,sampling,0.85,7,47411,"[sampling] CDC_VERILY_fl_2503_Treatment plant_post grit removal @ 2025-02-04 (confidence=0.85, factors=signal_isolation, environmental_absence, clinical_corroboration, silver_label_agreement)"
EVT-00009,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2025-07-03,environmental,0.7,7,50028,"[environmental] CDC_VERILY_fl_2503_Treatment plant_post grit removal @ 2025-07-03 (confidence=0.70, factors=heavy_rainfall, silver_label_prior, flow_response)"
EVT-00010,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2025-08-28,sampling,0.75,7,48110,"[sampling] CDC_VERILY_fl_2503_Treatment plant_post grit removal @ 2025-08-28 (confidence=0.75, factors=signal_isolation, environmental_absence, clinical_corroboration, regional_corroboration)"
