event_id,site_id,anomaly_date,classification,confidence,tool_calls_count,total_tokens,summary
EVT-00001,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2023-12-27,sampling,0.72,6,28392,"[sampling] CDC_VERILY_fl_2503_Treatment plant_post grit removal @ 2023-12-27 (confidence=0.72, factors=Isolated spike duration, Erratic signal pattern, Weak statistical signal, Normal environmental conditions, Hospitalization trend is gradual, not correlated, No regional corroboration, Stable variant landscape)"
EVT-00002,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2024-03-12,environmental,0.78,6,36398,"[environmental] CDC_VERILY_fl_2503_Treatment plant_post grit removal @ 2024-03-12 (confidence=0.78, factors=High discharge flow / dilution, Declining hospitalization trend, Sustained downward wastewater trend, Stable variant composition)"
EVT-00003,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2024-06-25,uncertain,0.55,6,27347,"[uncertain] CDC_VERILY_fl_2503_Treatment plant_post grit removal @ 2024-06-25 (confidence=0.55, factors=Sustained trend detection (cusum_trend + pelt_changepoint), Complex environmental pattern, Missing hospitalization data, Variant dynamics, Isolated dip on anomaly date)"
EVT-00004,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2024-08-08,environmental,0.82,5,26150,"[environmental] CDC_VERILY_fl_2503_Treatment plant_post grit removal @ 2024-08-08 (confidence=0.82, factors=Heavy rainfall and elevated discharge, Isolated spike with rapid return to baseline, Temporal alignment with hydrological response, Low z-score despite large absolute value)"
EVT-00005,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2024-09-10,environmental,0.88,6,27077,"[environmental] CDC_VERILY_fl_2503_Treatment plant_post grit removal @ 2024-09-10 (confidence=0.88, factors=Heavy rainfall dilution, Elevated wastewater discharge flow, Signal depression consistent with dilution, No clinical corroboration, No variant replacement)"
EVT-00006,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2025-01-02,sampling,0.62,6,26574,"[sampling] CDC_VERILY_fl_2503_Treatment plant_post grit removal @ 2025-01-02 (confidence=0.62, factors=Z-score anomaly, Isolated duration, No environmental support, No clinical corroboration, Sustained elevation post-anomaly)"
EVT-00007,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2025-01-30,uncertain,0.55,6,26916,"[uncertain] CDC_VERILY_fl_2503_Treatment plant_post grit removal @ 2025-01-30 (confidence=0.55, factors=Sustained downward trend, Anomalously low z-score, Normal discharge percentile, Missing hospitalization data, No environmental precipitation, Stable variant landscape)"
EVT-00008,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2025-02-04,sampling,0.92,6,25755,"[sampling] CDC_VERILY_fl_2503_Treatment plant_post grit removal @ 2025-02-04 (confidence=0.92, factors=Isolated single-point event, No statistical anomaly, No environmental drivers, No clinical corroboration, No regional corroboration, Stable variant landscape)"
EVT-00009,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2025-07-03,environmental,0.82,6,26842,"[environmental] CDC_VERILY_fl_2503_Treatment plant_post grit removal @ 2025-07-03 (confidence=0.82, factors=Heavy Rainfall, Statistical Insignificance, Low Discharge Percentile, Absence of Clinical Signal, Stable Variant Composition)"
EVT-00010,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2025-08-28,sampling,0.72,6,26940,"[sampling] CDC_VERILY_fl_2503_Treatment plant_post grit removal @ 2025-08-28 (confidence=0.72, factors=Isolated single-day spike, No significant precipitation on anomaly date, Normal discharge percentile, No regional corroboration, No variant replacement, Hospitalization data unavailable, Silver label consensus)"
EVT-00011,NWSS_az_1059_Treatment plant_raw wastewater,2022-02-28,sampling,0.92,6,33874,"[sampling] NWSS_az_1059_Treatment plant_raw wastewater @ 2022-02-28 (confidence=0.92, factors=Isolated single-point dip, Zero precipitation, Declining hospitalization trend, No variant shift at anomaly date, Peak Z-score of 0.00, No regional corroboration)"
EVT-00012,NWSS_az_1059_Treatment plant_raw wastewater,2024-05-20,sampling,0.78,6,25622,"[sampling] NWSS_az_1059_Treatment plant_raw wastewater @ 2024-05-20 (confidence=0.78, factors=Isolated single-point spike, Peak Z-score of 0.00, No environmental support, No clinical corroboration, No nearby site corroboration)"
EVT-00013,NWSS_ga_2699_Treatment plant_raw wastewater,2022-06-05,epidemic,0.88,6,25852,"[epidemic] NWSS_ga_2699_Treatment plant_raw wastewater @ 2022-06-05 (confidence=0.88, factors=Hospitalization trend, Temporal alignment, Sustained signal elevation, Absence of environmental confounders, Variant stability)"
EVT-00014,NWSS_ga_2699_Treatment plant_raw wastewater,2022-08-07,sampling,0.72,6,34304,"[sampling] NWSS_ga_2699_Treatment plant_raw wastewater @ 2022-08-07 (confidence=0.72, factors=Peak Z-score of 0.00, Isolated 1-day duration, No environmental support, No clinical corroboration, No variant replacement)"
EVT-00015,NWSS_ga_2699_Treatment plant_raw wastewater,2022-11-13,sampling,1.0,0,0,"[sampling] NWSS_ga_2699_Treatment plant_raw wastewater @ 2022-11-13 (confidence=1.00, factors=silver_label_passthrough)"
EVT-00016,NWSS_ga_2699_Treatment plant_raw wastewater,2023-03-13,sampling,1.0,0,0,"[sampling] NWSS_ga_2699_Treatment plant_raw wastewater @ 2023-03-13 (confidence=1.00, factors=silver_label_passthrough)"
EVT-00017,NWSS_ga_2699_Treatment plant_raw wastewater,2023-05-22,sampling,1.0,0,0,"[sampling] NWSS_ga_2699_Treatment plant_raw wastewater @ 2023-05-22 (confidence=1.00, factors=silver_label_passthrough)"
EVT-00018,NWSS_ga_2699_Treatment plant_raw wastewater,2024-01-15,sampling,0.85,6,27223,"[sampling] NWSS_ga_2699_Treatment plant_raw wastewater @ 2024-01-15 (confidence=0.85, factors=Z-score of 0.00, Isolated single-day dip, Declining hospitalization trend, Normal discharge conditions, No variant replacement signal, No regional corroboration)"
EVT-00019,NWSS_ga_2699_Treatment plant_raw wastewater,2024-01-28,sampling,0.72,6,26748,"[sampling] NWSS_ga_2699_Treatment plant_raw wastewater @ 2024-01-28 (confidence=0.72, factors=Isolated spike duration, Unusual Z-score, No environmental driver on anomaly date, No clinical corroboration, No variant change)"
EVT-00020,NWSS_ga_2699_Treatment plant_raw wastewater,2024-04-14,sampling,0.78,6,27184,"[sampling] NWSS_ga_2699_Treatment plant_raw wastewater @ 2024-04-14 (confidence=0.78, factors=Peak Z-score, Hospitalization trend, Signal isolation and duration, Environmental factors, Variant dynamics)"
EVT-00021,NWSS_ga_2699_Treatment plant_raw wastewater,2024-06-16,sampling,0.82,6,34889,"[sampling] NWSS_ga_2699_Treatment plant_raw wastewater @ 2024-06-16 (confidence=0.82, factors=Isolated single-point anomaly, Minimal statistical significance, No environmental drivers, No clinical corroboration, No regional corroboration, Stable overall trend)"
EVT-00022,NWSS_ga_2699_Treatment plant_raw wastewater,2025-02-02,sampling,0.92,6,35120,"[sampling] NWSS_ga_2699_Treatment plant_raw wastewater @ 2025-02-02 (confidence=0.92, factors=Isolated single-point anomaly, Extreme outlier magnitude, Normal discharge on anomaly date, No environmental drivers detected, No clinical corroboration, No regional corroboration, Silver label consensus)"
EVT-00023,NWSS_ga_2699_Treatment plant_raw wastewater,2025-03-16,environmental,0.92,6,26034,"[environmental] NWSS_ga_2699_Treatment plant_raw wastewater @ 2025-03-16 (confidence=0.92, factors=High discharge flow (dilution), Isolated dilution event pattern, Absence of epidemic indicators, Low statistical significance)"
EVT-00024,NWSS_ga_2699_Treatment plant_raw wastewater,2025-06-23,sampling,1.0,0,0,"[sampling] NWSS_ga_2699_Treatment plant_raw wastewater @ 2025-06-23 (confidence=1.00, factors=silver_label_passthrough)"
EVT-00025,NWSS_il_639_Treatment plant_raw wastewater,2022-03-15,sampling,0.92,5,26404,"[sampling] NWSS_il_639_Treatment plant_raw wastewater @ 2022-03-15 (confidence=0.92, factors=Isolated single-point anomaly, Suspicious Z-score, No clinical corroboration, Discharge not elevated on anomaly date, No regional corroboration)"
EVT-00026,NWSS_il_639_Treatment plant_raw wastewater,2022-06-09,environmental,0.85,6,29203,"[environmental] NWSS_il_639_Treatment plant_raw wastewater @ 2022-06-09 (confidence=0.85, factors=Heavy Precipitation, Elevated Discharge Flow, Signal Recovery, Absence of Clinical Corroboration, Stable Variant Landscape)"
EVT-00027,NWSS_il_639_Treatment plant_raw wastewater,2022-06-21,sampling,0.88,5,28424,"[sampling] NWSS_il_639_Treatment plant_raw wastewater @ 2022-06-21 (confidence=0.88, factors=isolated_spike_duration, no_environmental_driver, no_clinical_corroboration, rapid_baseline_return, no_regional_corroboration)"
EVT-00028,NWSS_il_639_Treatment plant_raw wastewater,2022-09-25,sampling,1.0,0,0,"[sampling] NWSS_il_639_Treatment plant_raw wastewater @ 2022-09-25 (confidence=1.00, factors=silver_label_passthrough)"
EVT-00029,NWSS_il_639_Treatment plant_raw wastewater,2022-10-18,sampling,0.88,5,26016,"[sampling] NWSS_il_639_Treatment plant_raw wastewater @ 2022-10-18 (confidence=0.88, factors=Isolated single-point anomaly, No environmental driver, No clinical corroboration, High baseline variability)"
EVT-00030,NWSS_il_639_Treatment plant_raw wastewater,2023-01-26,sampling,0.92,6,35686,"[sampling] NWSS_il_639_Treatment plant_raw wastewater @ 2023-01-26 (confidence=0.92, factors=Isolated spike duration, No environmental driver, No clinical corroboration, No regional corroboration, Variant timing mismatch)"
EVT-00031,NWSS_il_639_Treatment plant_raw wastewater,2023-02-26,sampling,1.0,0,0,"[sampling] NWSS_il_639_Treatment plant_raw wastewater @ 2023-02-26 (confidence=1.00, factors=silver_label_passthrough)"
EVT-00032,NWSS_il_639_Treatment plant_raw wastewater,2023-05-07,sampling,0.82,5,26909,"[sampling] NWSS_il_639_Treatment plant_raw wastewater @ 2023-05-07 (confidence=0.82, factors=Isolated single-point anomaly, No clinical corroboration, Quick signal recovery, Elevated discharge context, No regional corroboration)"
EVT-00033,NWSS_il_639_Treatment plant_raw wastewater,2023-07-04,sampling,0.92,5,26138,"[sampling] NWSS_il_639_Treatment plant_raw wastewater @ 2023-07-04 (confidence=0.92, factors=Isolated single-point anomaly, No environmental driver, No clinical corroboration, No regional corroboration, Stable overall trend)"
EVT-00034,NWSS_il_639_Treatment plant_raw wastewater,2023-11-05,sampling,0.72,6,28219,"[sampling] NWSS_il_639_Treatment plant_raw wastewater @ 2023-11-05 (confidence=0.72, factors=isolated_spike_duration, normal_discharge_flow, no_precipitation, modest_hospitalization_trend, no_variant_replacement, no_regional_corroboration, oscillating_pattern)"
EVT-00035,NWSS_il_639_Treatment plant_raw wastewater,2023-11-21,epidemic,1.0,0,0,"[epidemic] NWSS_il_639_Treatment plant_raw wastewater @ 2023-11-21 (confidence=1.00, factors=silver_label_passthrough)"
EVT-00036,NWSS_il_639_Treatment plant_raw wastewater,2024-03-12,environmental,0.82,5,28009,"[environmental] NWSS_il_639_Treatment plant_raw wastewater @ 2024-03-12 (confidence=0.82, factors=High discharge flow and CSO risk, Spring snowmelt season, No clinical corroboration, Isolated spike pattern)"
EVT-00037,NWSS_il_639_Treatment plant_raw wastewater,2024-12-15,sampling,0.72,6,26714,"[sampling] NWSS_il_639_Treatment plant_raw wastewater @ 2024-12-15 (confidence=0.72, factors=Isolated single-point spike, Z-score of 0.00, Elevated discharge on anomaly date, No clinical corroboration, No regional corroboration, No variant replacement)"
EVT-00038,NWSS_il_639_Treatment plant_raw wastewater,2025-02-12,sampling,0.72,6,26544,"[sampling] NWSS_il_639_Treatment plant_raw wastewater @ 2025-02-12 (confidence=0.72, factors=Isolated single-day dip, Normal environmental conditions, Immediate signal recovery, Unusual z-score value, Stable variant landscape)"
EVT-00039,NWSS_il_639_Treatment plant_raw wastewater,2025-05-04,sampling,1.0,0,0,"[sampling] NWSS_il_639_Treatment plant_raw wastewater @ 2025-05-04 (confidence=1.00, factors=silver_label_passthrough)"
EVT-00040,NWSS_il_639_Treatment plant_raw wastewater,2025-06-01,sampling,1.0,0,0,"[sampling] NWSS_il_639_Treatment plant_raw wastewater @ 2025-06-01 (confidence=1.00, factors=silver_label_passthrough)"
EVT-00041,NWSS_mn_2245_Treatment plant_raw wastewater,2023-05-03,environmental,0.92,5,27748,"[environmental] NWSS_mn_2245_Treatment plant_raw wastewater @ 2023-05-03 (confidence=0.92, factors=Spring snowmelt dilution, Combined sewer overflow (CSO) risk, Signal magnitude consistent with dilution, No clinical corroboration, No precipitation data available)"
EVT-00042,NWSS_mn_2245_Treatment plant_raw wastewater,2023-09-06,sampling,1.0,0,0,"[sampling] NWSS_mn_2245_Treatment plant_raw wastewater @ 2023-09-06 (confidence=1.00, factors=silver_label_passthrough)"
EVT-00043,NWSS_mn_2245_Treatment plant_raw wastewater,2023-11-01,epidemic,0.72,6,27309,"[epidemic] NWSS_mn_2245_Treatment plant_raw wastewater @ 2023-11-01 (confidence=0.72, factors=Isolated spike duration, Environmental timing mismatch, Z-score paradox, Hospitalization trend, Lack of regional corroboration)"
EVT-00044,NWSS_mn_2245_Treatment plant_raw wastewater,2023-12-26,sampling,0.82,5,25305,"[sampling] NWSS_mn_2245_Treatment plant_raw wastewater @ 2023-12-26 (confidence=0.82, factors=Isolated single-point dip, Holiday sampling bias, No environmental driver, No clinical corroboration, Rapid signal recovery)"
EVT-00045,NWSS_mn_2245_Treatment plant_raw wastewater,2024-02-20,sampling,1.0,0,0,"[sampling] NWSS_mn_2245_Treatment plant_raw wastewater @ 2024-02-20 (confidence=1.00, factors=silver_label_passthrough)"
EVT-00046,NWSS_mn_2245_Treatment plant_raw wastewater,2024-03-27,environmental,1.0,0,0,"[environmental] NWSS_mn_2245_Treatment plant_raw wastewater @ 2024-03-27 (confidence=1.00, factors=silver_label_passthrough)"
